commit number,normalized commit number,author,date,normalized date,message,sha
0,1,Siddharth Sharma,1490551591,1,"Merge pull request #88 from SE17GroupH/sid

Features and bug fixes",f44cb5fc829d594fe0a75eb99ed95a08518b5507
1,0.994047619,Siddharth Sharma,1490550938,0.9998359528,Remove confirmation mail link code,ec8ac48b97849958d824652356993db94358fdc5
2,0.9880952381,Siddharth Sharma,1490550634,0.9997595816,Remove code for confirmation mail opening in app,02f2d2c62ca7588de868235c51cf36804ee0c7c9
3,0.9821428571,Siddharth Sharma,1490550420,0.9997058204,rebuild the project,d1e2c6ebd60087634791eb122b902dda00d16275
4,0.9761904762,Siddharth Sharma,1490550311,0.9996784373,rebuild the project,b570d907610d30883a9277227405bc4963e807d6
5,0.9702380952,Siddharth Sharma,1489381068,0.7059401929,"Merge pull request #86 from SE17GroupH/sid

Bug fixes and more Features",4b478c168830529c3f6f23c1810561fb73efe67c
6,0.9642857143,Siddharth Sharma,1489269941,0.6780227712,add clear instructions,646aea6143770de80a6b591a1daf5e1bb8070e6a
7,0.9583333333,Siddharth Sharma,1489269277,0.6778559605,add changelog,2b3a82eda8b6e1bfdd6594c2b220dc5dd3c7bd1f
8,0.9523809524,Siddharth Sharma,1489032801,0.6184482539,Fix lot of bugs. Implement features.,07a6ea12363eea94d7dc3d390e74e1420bd9a6af
9,0.9464285714,Siddharth Sharma,1489000619,0.6103634638,Update README.md,51ae1ff77ea6f8640d4d86cf906f1ce86e46fcef
10,0.9404761905,Siddharth Sharma,1488961724,0.6005922281,update readme. remove old keystore,b2c348d40068daac5e496c35d062a33b5a647aed
11,0.9345238095,Siddharth Sharma,1488961314,0.6004892275,change to optimize,c7259dff76b9ed8c02a70fed6d6a8c16d205d92a
12,0.9285714286,Siddharth Sharma,1488958676,0.5998265069,Update README.md,548521b3303d5ada252b8034b8687897e2544880
13,0.9226190476,Siddharth Sharma,1488958641,0.5998177141,Update README.md,7e9cef16f5d1d2369c03d566372d8395a049b8cd
14,0.9166666667,Siddharth Sharma,1488956407,0.5992564867,Update .travis.yml,95c63f8efe88679afeb00cc8cedc7f9225625322
15,0.9107142857,Siddharth Sharma,1488956104,0.5991803668,Fix travis to only deploy via master on tag,fbad8032f9d8012fe96b628019cc91ed2f6e38fb
16,0.9047619048,Siddharth Sharma,1488955027,0.5989098019,Merge branch 'sid',48c402c9bafe9f1ac5edae64f84c55a9ae68c174
17,0.8988095238,Siddharth Sharma,1488955013,0.5989062848,fix signing apk release to deploy,cf09cc6f1fa74cea40b4a7d57e24fd7e4cee57f2
18,0.8928571429,Siddharth Sharma,1488948741,0.5973306275,Merge branch 'master' of https://github.com/SE17GroupH/Zap,bc71f583ef4b26e57451541b9742d927f433e337
19,0.8869047619,Siddharth Sharma,1488948730,0.5973278641,travis deploys signed apk fix,39a325cd1a32a0d6b5e026b855527884ca1464ea
20,0.880952381,Siddharth Sharma,1488947242,0.5969540474,"Merge pull request #81 from SE17GroupH/sid

Sid",1f12b2e3a5d44c155d0b5901d9923cae709a169c
21,0.875,Siddharth Sharma,1488946914,0.596871647,Merge branch 'master' into sid,ee827b461522fb9de5568635a3812ad8fbbbd404
22,0.869047619,Siddharth Sharma,1488946835,0.5968518005,travis deploys signed apk,d9a65e36f6bb3b667a13557b58f432bd7f80324c
23,0.8630952381,Siddharth Sharma,1488945837,0.5966010821,"Merge pull request #80 from SE17GroupH/sid

Sid",c8457d4d5eea3702eb001f37771c1ac311300db1
24,0.8571428571,Siddharth Sharma,1488945233,0.5964493447,travis deploys signed apk,8fc70013acd644f1ab3ba6f21b5bfeb9e3839b4e
25,0.8511904762,Siddharth Sharma,1488944494,0.5962636925,add keystore for releases signed with travis,82d8b7c6335df3b2dc272c35423207057526df6d
26,0.8452380952,Siddharth Sharma,1488941195,0.5954349148,"Merge pull request #78 from SE17GroupH/sid

Onwards to version 2",c746274803197e932910c619fd68a7d69ab3a78d
