,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,added_to_project,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1487253810.0,1486148822.0,1486148478.0,35,[u'5319e7'],[u'research'],None,2120179.0,February Deliverables,None,1486148621.0,1488268800.0,Magic link resources,DevArenaCN
1,closed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1486148822.0,1486148822.0,1486148478.0,35,[u'5319e7'],[u'research'],None,2120179.0,February Deliverables,None,1486148621.0,1488268800.0,Magic link resources,DevArenaCN
2,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1486148735.0,1486148822.0,1486148478.0,35,[u'5319e7'],[u'research'],None,2120179.0,February Deliverables,None,1486148621.0,1488268800.0,Magic link resources,thegreyd
3,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1486148711.0,1486148822.0,1486148478.0,35,[u'5319e7'],[u'research'],None,2120179.0,February Deliverables,None,1486148621.0,1488268800.0,Magic link resources,thegreyd
4,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1486148704.0,1486148822.0,1486148478.0,35,[u'5319e7'],[u'research'],None,2120179.0,February Deliverables,None,1486148621.0,1488268800.0,Magic link resources,KaustubhG
5,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1486148704.0,1486148822.0,1486148478.0,35,[u'5319e7'],[u'research'],None,2120179.0,February Deliverables,None,1486148621.0,1488268800.0,Magic link resources,DevArenaCN
6,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1486148698.0,1486148822.0,1486148478.0,35,[u'5319e7'],[u'research'],None,2120179.0,February Deliverables,None,1486148621.0,1488268800.0,Magic link resources,thegreyd
7,closed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486148241.0,1486148241.0,1485749749.0,34,[u'1d76db'],[u'Deliverables'],349092.0,222937.0,Lighting Talk,1486148555.0,1485799463.0,1486022400.0,Create presentation and prepare lightning talk,thegreyd
8,subscribed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486004051.0,1486148241.0,1485749749.0,34,[u'1d76db'],[u'Deliverables'],349092.0,222937.0,Lighting Talk,1486148555.0,1485799463.0,1486022400.0,Create presentation and prepare lightning talk,thegreyd
9,mentioned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486004051.0,1486148241.0,1485749749.0,34,[u'1d76db'],[u'Deliverables'],349092.0,222937.0,Lighting Talk,1486148555.0,1485799463.0,1486022400.0,Create presentation and prepare lightning talk,thegreyd
10,subscribed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486001988.0,1486148241.0,1485749749.0,34,[u'1d76db'],[u'Deliverables'],349092.0,222937.0,Lighting Talk,1486148555.0,1485799463.0,1486022400.0,Create presentation and prepare lightning talk,thegreyd
11,mentioned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486001988.0,1486148241.0,1485749749.0,34,[u'1d76db'],[u'Deliverables'],349092.0,222937.0,Lighting Talk,1486148555.0,1485799463.0,1486022400.0,Create presentation and prepare lightning talk,thegreyd
12,subscribed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1485991254.0,1486148241.0,1485749749.0,34,[u'1d76db'],[u'Deliverables'],349092.0,222937.0,Lighting Talk,1486148555.0,1485799463.0,1486022400.0,Create presentation and prepare lightning talk,thegreyd
